assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code_x,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,code_y,name,team_colour
0,1976-07-01,0,0,True,True,,,0,0.0,100050995,,,0,0,0,0,0.0,509,5,,,0,AM,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruud,0.0,385,20,0,0.0,0,False,0.0,532,5,754,False,0.0,532,5,0,0,0,2,4,0,0,1,,,5,785,20,man50996,0,0,,0,,100050995.jpg,0.0,538,5,0,152.0,False,0,0.0,van Nistelrooij,0.3,640,19,False,,0,0.0,a,11,13,2024-12-01,0.0,467,5,8,16235,136,7382,442,0.0,16.0,Van Nistelrooy,0,13,Leicester,#0101e8
0,1978-09-17,0,0,True,True,,,0,0.0,100052173,,,0,0,0,0,0.0,524,20,,,0,AM,9.1,8.1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arne,7.6,8,5,0,0.0,0,False,0.0,547,20,744,False,0.0,547,20,0,3,2,16,0,0,0,5,,,15,770,5,man52174,0,0,,0,,100052173.jpg,0.0,553,20,0,152.0,False,0,0.0,Slot,21.9,151,1,False,,0,0.0,a,12,14,2024-06-01,0.0,482,20,58,118223,22687,279094,4999,5.1,38.7,Slot,0,14,Liverpool,#b31313
0,1971-01-18,0,0,True,True,,,0,0.0,100037973,,,0,0,0,0,0.0,520,16,,,0,AM,7.0,7.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pep,7.0,13,8,0,0.0,0,False,0.0,543,16,736,False,0.0,543,16,0,2,0,9,2,0,0,3,,,15,766,1,man37974,0,0,,0,,100037973.jpg,0.0,549,16,0,200.0,False,0,0.0,Guardiola,2.2,389,14,False,,0,0.0,a,13,43,2016-07-01,0.0,478,16,31,9082,1930,13962,891,4.7,20.7,Guardiola,0,43,Man City,#97c1e7
0,1985-01-27,0,0,True,True,,,0,0.0,100053636,,,0,0,0,0,0.0,514,10,,,0,AM,4.2,4.7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruben Filipe,4.7,59,14,0,0.0,0,False,0.0,537,10,745,False,0.0,537,10,0,1,1,6,2,0,0,2,,,8,780,15,man53637,0,0,,0,,100053636.jpg,0.0,543,10,0,173.0,False,0,0.0,Marques Diogo Amorim,2.5,372,13,False,,0,0.0,a,14,1,2024-11-11,0.0,472,10,23,15258,1601,18152,3731,5.9,28.8,Amorim,0,1,Man Utd,#da030e
0,1977-11-29,0,0,True,True,,,0,0.0,100038215,,,0,0,0,0,0.0,521,17,,,0,AM,3.8,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eddie,3.3,103,17,0,0.0,0,False,0.0,544,17,746,False,0.0,544,17,0,0,0,8,3,0,0,2,,,15,767,2,man38216,0,0,,0,,100038215.jpg,0.0,550,17,0,241.0,False,0,0.0,Howe,0.7,544,17,False,,0,0.0,a,15,4,2021-11-08,0.0,479,17,20,7806,849,7508,502,2.2,13.3,Howe,0,4,Newcastle,#000000
0,1974-01-25,0,0,True,True,,,0,0.0,100041808,,,0,0,0,0,0.0,516,12,,,0,AM,3.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nuno Herlander,3.0,121,18,0,0.0,0,False,0.0,539,12,747,False,0.0,539,12,0,2,1,11,3,0,0,1,,,11,772,7,man41809,0,0,,0,,100041808.jpg,0.0,545,12,0,173.0,False,0,0.0,Simões Espírito Santo,1.4,459,16,False,,0,0.0,a,16,17,2023-12-20,0.0,474,12,24,9138,916,16490,1322,2.7,21.8,Nuno,0,17,Nott'm Forest,#e53233
0,1975-08-25,0,0,True,True,,,0,0.0,100045653,,,0,0,0,0,0.0,506,2,,,0,AM,-1.2,-0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivan,0.3,329,19,0,0.0,0,False,0.0,529,2,748,False,0.0,529,2,0,0,0,4,4,0,0,1,,,5,782,17,man45654,0,0,,0,,100045653.jpg,0.0,535,2,0,97.0,False,0,0.0,Juric,0.1,742,20,False,,0,0.0,a,17,20,2024-12-23,0.0,464,2,10,2095,48,1422,125,0.6,20.0,Jurić,0,20,Southampton,#ed1a3b
0,1965-08-27,0,0,True,True,,,0,0.0,100041880,,,0,0,0,0,0.0,517,13,,,0,AM,5.8,5.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ange,6.3,23,10,0,0.0,0,False,0.0,540,13,749,False,0.0,540,13,0,2,0,8,2,0,0,3,,,11,773,8,man41881,0,0,,0,,100041880.jpg,0.0,546,13,0,13.0,False,0,0.0,Postecoglou,3.7,324,9,False,,0,0.0,a,18,6,2023-07-01,0.0,475,13,30,27995,4090,7672,2071,5.7,27.3,Postecoglou,0,6,Spurs,#cccccc
0,1975-05-20,0,0,True,True,,,0,0.0,100046435,,,0,0,0,0,0.0,507,3,,,0,AM,7.0,7.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Graham,7.5,9,6,0,0.0,0,False,0.0,530,3,750,False,0.0,530,3,0,2,1,5,2,1,1,2,,,5,783,18,man46436,0,0,,0,,100046435.jpg,0.0,536,3,0,241.0,False,0,0.0,Potter,2.7,360,12,False,,0,0.0,a,19,21,2025-01-09,0.0,465,3,39,22316,1452,9618,3400,15.0,78.0,Potter,0,21,West Ham,#7c2c3b
0,1968-07-26,0,0,True,True,,,0,0.0,100040854,,,0,0,0,0,0.0,511,7,,,0,AM,7.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vítor Manuel,7.0,12,7,0,0.0,0,False,0.0,534,7,751,False,0.0,534,7,0,2,0,5,3,0,2,2,,,8,777,12,man40855,0,0,,0,,100040854.jpg,0.0,540,7,0,173.0,False,0,0.0,de Oliveira Lopes Pereira,5.9,276,6,False,,0,0.0,a,20,39,2024-12-19,0.0,469,7,41,56374,1285,11232,8443,8.7,51.2,Pereira,0,39,Wolves,#fdb913
